pool_size,m_selected,error_stepwise,error_uniform,error_random_m
10,3,0.22857142857142856,0.11428571428571428,0.17142857142857143
10,3,0.04285714285714286,0.04285714285714286,0.4714285714285714
10,2,0.0,0.0,0.38571428571428573
10,1,0.18571428571428572,0.07142857142857142,0.18571428571428572
10,0,0.5,0.5,0.5
10,2,0.21428571428571427,0.17142857142857143,0.2714285714285714
10,5,0.05714285714285714,0.07142857142857142,0.24285714285714285
10,4,0.04285714285714286,0.0,0.0
10,2,0.0,0.0,0.4714285714285714
10,1,0.14285714285714285,0.2857142857142857,0.5714285714285714
10,2,0.11428571428571428,0.2857142857142857,0.11428571428571428
10,2,0.014285714285714285,0.0,0.04285714285714286
10,3,0.0,0.014285714285714285,0.3142857142857143
10,3,0.0,0.0,0.2857142857142857
10,2,0.07142857142857142,0.05714285714285714,0.18571428571428572
10,1,0.21428571428571427,0.34285714285714286,0.4142857142857143
10,3,0.0,0.18571428571428572,0.3142857142857143
10,3,0.0,0.02857142857142857,0.014285714285714285
10,3,0.014285714285714285,0.0,0.014285714285714285
10,3,0.07142857142857142,0.014285714285714285,0.07142857142857142
10,3,0.014285714285714285,0.014285714285714285,0.04285714285714286
10,4,0.17142857142857143,0.15714285714285714,0.24285714285714285
10,1,0.07142857142857142,0.11428571428571428,0.07142857142857142
10,5,0.02857142857142857,0.014285714285714285,0.05714285714285714
10,2,0.02857142857142857,0.1,0.04285714285714286
20,3,0.04285714285714286,0.02857142857142857,0.6
20,4,0.014285714285714285,0.014285714285714285,0.11428571428571428
20,7,0.014285714285714285,0.014285714285714285,0.0
20,5,0.0,0.0,0.0
20,1,0.02857142857142857,0.04285714285714286,0.24285714285714285
20,5,0.0,0.0,0.02857142857142857
20,3,0.0,0.0,0.02857142857142857
20,5,0.0,0.1,0.07142857142857142
20,3,0.12857142857142856,0.17142857142857143,0.32857142857142857
20,2,0.08571428571428572,0.1,0.2714285714285714
20,5,0.0,0.014285714285714285,0.04285714285714286
20,5,0.014285714285714285,0.0,0.02857142857142857
20,2,0.0,0.0,0.5
20,4,0.0,0.0,0.1
20,4,0.0,0.0,0.1
20,3,0.0,0.0,0.11428571428571428
20,4,0.0,0.02857142857142857,0.24285714285714285
20,3,0.02857142857142857,0.0,0.2
20,3,0.014285714285714285,0.0,0.24285714285714285
20,5,0.02857142857142857,0.0,0.14285714285714285
20,3,0.02857142857142857,0.014285714285714285,0.17142857142857143
20,4,0.0,0.0,0.07142857142857142
20,5,0.0,0.0,0.14285714285714285
20,5,0.0,0.0,0.12857142857142856
20,3,0.0,0.0,0.07142857142857142
50,25,0.0,0.0,0.0
50,9,0.0,0.0,0.04285714285714286
50,6,0.08571428571428572,0.0,0.05714285714285714
50,11,0.0,0.0,0.07142857142857142
50,10,0.0,0.0,0.0
50,27,0.0,0.0,0.0
50,25,0.0,0.0,0.02857142857142857
50,6,0.0,0.0,0.07142857142857142
50,25,0.0,0.0,0.02857142857142857
50,8,0.0,0.0,0.1
50,2,0.0,0.0,0.014285714285714285
50,8,0.0,0.0,0.04285714285714286
50,25,0.0,0.0,0.0
50,5,0.0,0.0,0.014285714285714285
50,2,0.0,0.0,0.2857142857142857
50,25,0.0,0.0,0.0
50,25,0.0,0.0,0.14285714285714285
50,10,0.014285714285714285,0.0,0.07142857142857142
50,4,0.0,0.0,0.17142857142857143
50,10,0.0,0.0,0.22857142857142856
50,25,0.0,0.0,0.0
50,6,0.0,0.0,0.2571428571428571
50,25,0.02857142857142857,0.0,0.02857142857142857
50,6,0.0,0.0,0.08571428571428572
50,7,0.02857142857142857,0.0,0.04285714285714286
100,27,0.0,0.0,0.0
100,25,0.0,0.0,0.0
100,27,0.014285714285714285,0.0,0.02857142857142857
100,25,0.02857142857142857,0.0,0.014285714285714285
100,25,0.014285714285714285,0.0,0.0
100,27,0.02857142857142857,0.0,0.0
100,28,0.0,0.0,0.04285714285714286
100,25,0.0,0.0,0.0
100,26,0.0,0.0,0.0
100,25,0.014285714285714285,0.0,0.0
100,25,0.014285714285714285,0.0,0.0
100,25,0.014285714285714285,0.0,0.0
100,26,0.02857142857142857,0.0,0.0
100,25,0.0,0.0,0.0
100,26,0.0,0.0,0.0
100,25,0.0,0.0,0.02857142857142857
100,25,0.0,0.0,0.0
100,26,0.0,0.0,0.05714285714285714
100,25,0.0,0.0,0.014285714285714285
100,26,0.0,0.0,0.0
100,25,0.0,0.0,0.04285714285714286
100,26,0.0,0.0,0.1
100,25,0.0,0.0,0.0
100,27,0.0,0.0,0.0
100,25,0.0,0.0,0.014285714285714285
200,25,0.0,0.0,0.0
200,26,0.04285714285714286,0.0,0.014285714285714285
200,25,0.0,0.0,0.0
200,25,0.0,0.0,0.0
200,25,0.0,0.0,0.014285714285714285
200,25,0.0,0.0,0.014285714285714285
200,25,0.0,0.0,0.0
200,26,0.0,0.0,0.08571428571428572
200,25,0.0,0.0,0.0
200,25,0.0,0.0,0.0
200,26,0.0,0.0,0.0
200,25,0.04285714285714286,0.0,0.0
200,25,0.0,0.0,0.0
200,25,0.0,0.0,0.08571428571428572
200,25,0.0,0.0,0.0
200,25,0.0,0.0,0.12857142857142856
200,25,0.0,0.0,0.0
200,25,0.0,0.0,0.04285714285714286
200,25,0.0,0.0,0.0
200,25,0.0,0.0,0.0
200,27,0.0,0.0,0.0
200,28,0.0,0.0,0.0
200,25,0.014285714285714285,0.0,0.0
200,25,0.0,0.0,0.0
200,26,0.0,0.0,0.05714285714285714
