embed_model,r_hat,direction,fin_mean_abs_loading,fin_frac_dominant,hr_mean_abs_loading,hr_frac_dominant,ctrl_mean_abs_loading,ctrl_frac_dominant
nomic-embed-text-v1.5,1,1,0.1071680307214232,0.96,0.025918495468697976,0.08,0.03750369201133989,0.87
nomic-embed-text-v1.5,1,2,0.026691509087846784,0.04,0.11217431756100443,0.92,0.026866168378064294,0.13
all-MiniLM-L6-v2,1,1,0.09788006735203089,0.98,0.026716919512247434,0.18,0.05378925196581402,0.98
all-MiniLM-L6-v2,1,2,0.017549067604331378,0.02,0.11727196913238767,0.82,0.008965055544251302,0.02
bge-large-en-v1.5,1,1,0.09043133659919222,1.0,0.03895029252974516,0.26,0.0575379702575769,1.0
bge-large-en-v1.5,1,2,0.01692809990392704,0.0,0.11257827702919716,0.74,0.006823073128041726,0.0
text-embedding-3-small,1,1,0.10259054105514431,0.98,0.02216290759286323,0.12,0.05197087601313962,0.98
text-embedding-3-small,1,2,0.023914350876386402,0.02,0.11637982341273155,0.88,0.01547871659596172,0.02
