query_set,n,m,failure_prob
uniform,20,1,0.154
uniform,20,2,0.063
uniform,20,5,0.033
uniform,20,10,0.032
uniform,20,20,0.045
uniform,20,50,0.024
uniform,20,100,0.025
uniform,80,1,0.147
uniform,80,2,0.081
uniform,80,5,0.028
uniform,80,10,0.017
uniform,80,20,0.007
uniform,80,50,0.006
uniform,80,100,0.0
