dataset,m,rep,classifier,accuracy
motivating,1,34,1nn,0.8
motivating,1,34,linear_svm,0.9
motivating,1,34,rbf_svm,0.9
motivating,1,35,rf,0.8333333333333334
motivating,1,35,1nn,0.8333333333333334
motivating,1,35,linear_svm,0.7333333333333333
motivating,1,35,rbf_svm,0.7333333333333333
motivating,1,36,rf,0.6666666666666666
motivating,1,36,1nn,0.7
motivating,1,36,linear_svm,0.6666666666666666
motivating,1,36,rbf_svm,0.6
motivating,1,37,rf,0.43333333333333335
motivating,1,37,1nn,0.7666666666666667
motivating,1,37,linear_svm,0.5333333333333333
motivating,1,37,rbf_svm,0.6333333333333333
motivating,1,38,rf,0.6666666666666666
motivating,1,38,1nn,0.7333333333333333
motivating,1,38,linear_svm,0.6
motivating,1,38,rbf_svm,0.7
motivating,1,39,rf,0.9333333333333333
motivating,1,39,1nn,0.9
motivating,1,39,linear_svm,0.6666666666666666
motivating,1,39,rbf_svm,0.6666666666666666
motivating,1,40,rf,0.8333333333333334
motivating,1,40,1nn,0.8666666666666667
motivating,1,40,linear_svm,0.7333333333333333
motivating,1,40,rbf_svm,0.7666666666666667
motivating,1,41,rf,0.6333333333333333
motivating,1,41,1nn,0.7333333333333333
motivating,1,41,linear_svm,0.6666666666666666
motivating,1,41,rbf_svm,0.6333333333333333
motivating,1,42,rf,0.7
motivating,1,42,1nn,0.8333333333333334
motivating,1,42,linear_svm,0.7
motivating,1,42,rbf_svm,0.7
motivating,1,43,rf,0.8
motivating,1,43,1nn,0.7
motivating,1,43,linear_svm,0.8
motivating,1,43,rbf_svm,0.8
motivating,1,44,rf,0.7333333333333333
motivating,1,44,1nn,0.7
motivating,1,44,linear_svm,0.7
motivating,1,44,rbf_svm,0.7
motivating,1,45,rf,0.8
motivating,1,45,1nn,0.7333333333333333
motivating,1,45,linear_svm,0.7333333333333333
motivating,1,45,rbf_svm,0.7333333333333333
motivating,1,46,rf,0.7333333333333333
motivating,1,46,1nn,0.7333333333333333
motivating,1,46,linear_svm,0.5
motivating,1,46,rbf_svm,0.8
motivating,1,47,rf,0.7666666666666667
motivating,1,47,1nn,0.8
motivating,1,47,linear_svm,0.7666666666666667
motivating,1,47,rbf_svm,0.7666666666666667
motivating,1,48,rf,0.6
motivating,1,48,1nn,0.6666666666666666
motivating,1,48,linear_svm,0.6666666666666666
motivating,1,48,rbf_svm,0.6
motivating,1,49,rf,0.7333333333333333
motivating,1,49,1nn,0.8333333333333334
motivating,1,49,linear_svm,0.6333333333333333
motivating,1,49,rbf_svm,0.6333333333333333
motivating,2,0,rf,0.8
motivating,2,0,1nn,0.7333333333333333
motivating,2,0,linear_svm,0.7666666666666667
motivating,2,0,rbf_svm,0.6666666666666666
motivating,2,1,rf,0.6666666666666666
motivating,2,1,1nn,0.7666666666666667
motivating,2,1,linear_svm,0.7
motivating,2,1,rbf_svm,0.7
motivating,2,2,rf,0.8333333333333334
motivating,2,2,1nn,0.8666666666666667
motivating,2,2,linear_svm,0.8333333333333334
motivating,2,2,rbf_svm,0.8666666666666667
